iaaf,type,notes,gender,event,meters,centimeters,,points,hours,min,sec,shundreds,name,nationality,day,month,year
pre,speed,Hand timing,Men,100 m,null,null,,null,null,0,11,0,William MacLaren,Great Britain & Ireland,27,7,1867
pre,speed,Hand timing,Men,100 m,null,null,,null,null,0,10,80,Cecil Lee,Great Britain & Ireland,25,9,1892
pre,speed,Hand timing,Men,100 m,null,null,,null,null,0,10,60,Knut Lindberg,Sweden,5,8,1906
pre,speed,Hand timing,Men,100 m,null,null,,null,null,0,10,50,Emil Ketterer,Germany,9,7,1911
post,speed,Hand timing,Men,100 m,null,null,,null,null,0,10,60,Donald Lippincott,USA,6,7,1912
post,speed,Hand timing,Men,100 m,null,null,,null,null,0,10,40,Charley Paddock,USA,23,4,1921
post,speed,Hand timing,Men,100 m,null,null,,null,null,0,10,30,Percy Williams,CAN,9,8,1930
post,speed,Hand timing,Men,100 m,null,null,,null,null,0,10,20,Jesse Owens,USA,20,6,1936
post,speed,Hand timing,Men,100 m,null,null,,null,null,0,10,10,Willie Williams I,USA,3,8,1956
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,95,Jim Hines,USA,14,10,1968
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,93,Calvin Smith,USA,3,7,1983
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,92,Carl Lewis,USA,24,9,1988
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,90,Leroy Burrell,USA,14,6,1991
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,86,Carl Lewis,USA,25,8,1991
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,85,Leroy Burrell,USA,6,7,1994
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,84,Donovan Bailey,CAN,27,7,1996
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,79,Maurice Greene,USA,16,6,1999
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,77,Asafa Powell,Jamaica,14,6,2005
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,74,Asafa Powell,Jamaica,9,9,2007
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,72,Usain Bolt,Jamaica,31,5,2008
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,69,Usain Bolt,Jamaica,16,8,2008
post,speed,Automatic timing,Men,100 m,null,null,,null,null,0,9,58,Usain Bolt,Jamaica,16,8,2009
pre,speed,,Men,10000 m,null,null,,null,null,32,35,0,William Jackson,Great Britain & Ireland,5,4,1847
pre,speed,,Men,10000 m,null,null,,null,null,31,0,0,Jack White,Great Britain & Ireland,11,5,1863
post,speed,,Men,10000 m,null,null,,null,null,30,58,80,Jean Bouin,FRA,16,11,1911
post,speed,,Men,10000 m,null,null,,null,null,30,40,20,Paavo Nurmi,Finland,22,6,1921
post,speed,,Men,10000 m,null,null,,null,null,30,35,40,"""Ville"" Ritola",Finland,25,5,1924
post,speed,,Men,10000 m,null,null,,null,null,30,23,20,"""Ville"" Ritola",Finland,6,7,1924
post,speed,,Men,10000 m,null,null,,null,null,30,6,20,Paavo Nurmi,Finland,31,8,1924
post,speed,,Men,10000 m,null,null,,null,null,30,5,60,Ilmari Salminen,Finland,18,7,1937
post,speed,,Men,10000 m,null,null,,null,null,30,2,0,Taisto Maki,Finland,29,9,1938
post,speed,,Men,10000 m,null,null,,null,null,29,52,60,Taisto Maki,Finland,17,9,1939
post,speed,,Men,10000 m,null,null,,null,null,29,35,40,Viljo Heino,Finland,25,8,1944
post,speed,,Men,10000 m,null,null,,null,null,29,28,20,Emil Zatopek,TCH,11,6,1949
post,speed,,Men,10000 m,null,null,,null,null,29,27,20,Viljo Heino,Finland,1,9,1949
post,speed,,Men,10000 m,null,null,,null,null,29,21,20,Emil Zatopek,TCH,22,10,1949
post,speed,,Men,10000 m,null,null,,null,null,29,2,60,Emil Zatopek,TCH,4,8,1950
post,speed,,Men,10000 m,null,null,,null,null,29,1,60,Emil Zatopek,TCH,1,11,1953
post,speed,,Men,10000 m,null,null,,null,null,28,54,20,Emil Zatopek,TCH,1,6,1954
post,speed,,Men,10000 m,null,null,,null,null,28,42,80,Sandor Iharos,HUN,15,7,1956
post,speed,,Men,10000 m,null,null,,null,null,28,30,40,Vladimir Kuts,URS,11,9,1956
post,speed,,Men,10000 m,null,null,,null,null,28,18,80,Pyotr Bolotnikov,URS,15,10,1960
post,speed,,Men,10000 m,null,null,,null,null,28,18,20,Pyotr Bolotnikov,URS,11,8,1962
post,speed,,Men,10000 m,null,null,,null,null,28,15,60,Ron Clarke,AUS,18,12,1963
post,speed,,Men,10000 m,null,null,,null,null,27,39,40,Ron Clarke,AUS,14,7,1965
post,speed,,Men,10000 m,null,null,,null,null,27,38,40,Lasse Viren,Finland,3,9,1972
post,speed,,Men,10000 m,null,null,,null,null,27,30,80,David Bedford,the United Kingdom,13,7,1973
post,speed,,Men,10000 m,null,null,,null,null,27,30,50,Samson Kimobwa,KEN,30,6,1977
post,speed,,Men,10000 m,null,null,,null,null,27,22,40,Henry Rono,KEN,11,6,1978
post,speed,,Men,10000 m,null,null,,null,null,27,13,81,Fernando Mamede,POR,2,7,1984
post,speed,,Men,10000 m,null,null,,null,null,27,8,23,Arturo Barrios,MEX,18,8,1989
post,speed,,Men,10000 m,null,null,,null,null,27,7,91,Richard Chelimo,KEN,5,7,1993
post,speed,,Men,10000 m,null,null,,null,null,26,58,38,Yobes Ondieki,KEN,10,7,1993
post,speed,,Men,10000 m,null,null,,null,null,26,52,23,William Sigei,KEN,22,7,1994
post,speed,,Men,10000 m,null,null,,null,null,26,43,53,Haile Gebrselassie,ETH,5,6,1995
post,speed,,Men,10000 m,null,null,,null,null,26,38,8,Salah Hissou,MAR,23,8,1996
post,speed,,Men,10000 m,null,null,,null,null,26,31,32,Haile Gebrselassie,ETH,4,7,1997
post,speed,,Men,10000 m,null,null,,null,null,26,27,85,Paul Tergat,KEN,22,8,1997
post,speed,,Men,10000 m,null,null,,null,null,26,22,75,Haile Gebrselassie,ETH,1,6,1998
